,电影类别,编码,公映证号,片名_x,第一出品单位,公示批次链接_x,公示名称,公示日期_x,match_part,备案立项号,片名_y,备案单位,编剧,备案结果,备案地,梗概,公示日期_y,公示批次名称,备案详细页链接,公示批次链接_y
1,国产故事片,1100052021,5,追龙擒虎,耳东影业（北京）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,追龙擒虎,,,,,,,,,,,
9,国产故事片,1100342021,35,我没谈完的那场恋爱,陕西旅游集团影视文化有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,我没谈完的那场恋爱,,,,,,,,,,,
10,国产故事片,1100352021,36,我不是葫芦瓢,石家庄瑞利影视文化传播中心,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,我不是葫芦瓢,,,,,,,,,,,
13,国产故事片,1100472021,46,黄金土,陕西道佐影视文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,黄金土,,,,,,,,,,,
17,国产故事片,1100572021,56,留住春天,北京杰钊影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,留住春天,,,,,,,,,,,
23,国产故事片,1100922021,88,燃烧的玫瑰湖,临沂市尚慈影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,燃烧的玫瑰湖,,,,,,,,,,,
25,国产故事片,1100972021,93,南少林永春拳之坚贞守护,广东星媒影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,南少林永春拳之坚贞守护,,,,,,,,,,,
29,国产故事片,1101602021,160,扫黑·决战,爱奇艺影业（上海）有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,扫黑·决战,,,,,,,,,,,
32,国产故事片,1101192020,107,鼠辈之名,成都觅窝文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,鼠辈之名,,,,,,,,,,,
33,国产故事片,1101732020,147,生死危途,北京浩然之气影视文化传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,生死危途,,,,,,,,,,,
41,国产故事片,1103372020,313,爱情对话框,厦门午臣影视传媒有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,爱情对话框,,,,,,,,,,,
42,国产故事片,1103382020,314,冥绝村,青岛汇通航影视文化传媒中心（有限合伙）,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,冥绝村,,,,,,,,,,,
43,国产故事片,1103532020,329,后池新愚公,河北众慧众智文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,后池新愚公,,,,,,,,,,,
45,国产故事片,1104202020,364,再见！秦大人,日照光影国际电影有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,再见！秦大人,,,,,,,,,,,
46,国产故事片,1104082020,378,秘密访客,新丽传媒集团有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,秘密访客,,,,,,,,,,,
55,国产故事片,1104462020,402,男神游戏,成都戈亚盛世文化艺术有限责任公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,男神游戏,,,,,,,,,,,
63,国产故事片,1105822020,505,毛泽东在才溪,八一电影制片厂,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,毛泽东在才溪,,,,,,,,,,,
64,国产故事片,1105802020,509,挑山者,泰安市广播电视台,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,挑山者,,,,,,,,,,,
68,国产故事片,1106122020,527,有一点动心,成都龙瑞影业有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,有一点动心,,,,,,,,,,,
69,国产故事片,1106162020,531,战旗飘飘,成都魅力映像文化传播有限公司,http://www.chinafilm.gov.cn/chinafilm/contents/168/3447.shtml,2021年电影公映许可证发放公示（国产故事片第四批）,2021-05-12,战旗飘飘,,,,,,,,,,,
